year,attack
1970,0
1971,0
1972,1
1973,0
1974,0
1975,1
1976,1
1978,0
1977,1
1979,20
1980,10
1981,16
1982,13
1983,47
1984,159
1985,39
1986,96
1987,166
1988,358
1989,324
1990,349
1991,339
1992,237
1994,107
1995,179
1996,211
1997,193
1998,61
1999,112
2000,179
2001,234
2002,182
2003,196
2004,108
2005,145
2006,167
2007,149
2008,516
2009,673
2010,661
2011,643
2012,611
2013,694
2014,860
2015,882
